0000000001 01 transactions clearing E                           
0000000002 02 20260226COB  09:00:18TN0001000108MONOPRIX          000025700000024TUN VAL   00100000007UNION CAP 0010000000050000000067000000000000335002884445         50651                                                                              
0000000021 02 20260226COB  10:43:29TN0001100254SFBT              001126500000015AMEN INV  01300000018MAC       001000000920000000013400000000012328000768356          63834                                                                              
0000000022 02 20260226COB  10:43:29TN0001100254SFBT              001280100000015AMEN INV  00100000018MAC       001000009400000000013300000000125020000768355          63834                                                                              
0000000023 02 20260226COB  10:43:29TN0001100254SFBT              001331300000015AMEN INV  00100000018MAC       001000084000000000013300000001117200000768355          63834                                                                              
0000000024 02 20260226COB  10:27:47TN0001100254SFBT              000947300000018MAC       00100000018MAC       00100000035000000001340000000000469000061937           LIBRE                                                                              
0000000025 02 20260226COB  11:16:27TN0001100254SFBT              001792100000018MAC       00100000018MAC       00100000054900000001330000000000730170054896           63834                                                                              
0000000026 02 20260226COB  11:16:27TN0001100254SFBT              001817700000018MAC       00100000018MAC       00100000045100000001330000000000599830054896           63834                                                                              
0000000027 02 20260226COB  11:23:43TN0001100254SFBT              001868900000018MAC       00100000018MAC       00100000075500000001340000000001011700054896           63834                                                                              
0000000028 02 20260226COB  11:17:42TN0001100254SFBT              001843300000018MAC       00100000018MAC       00100000024500000001330000000000325850054896           63834                                                                              
0000000029 02 20260226COB  11:28:30TN0001100254SFBT              001920100000018MAC       01000000018MAC       01300000011300000001340000000000151420063692           62331                                                                              
0000000030 02 20260226COB  11:28:30TN0001100254SFBT              001971300000018MAC       01000000018MAC       01300000022600000001340000000000302840063692           62331                                                                              
0000000031 02 20260226COB  11:28:30TN0001100254SFBT              001894500000018MAC       01000000018MAC       00100000001100000001340000000000014740063692           63834                                                                              
0000000032 02 20260226COB  11:28:30TN0001100254SFBT              001945700000018MAC       01000000018MAC       00100000215000000001340000000002881000063692           63834                                                                              
0000000033 02 20260226COB  11:32:30TN0001100254SFBT              002099300000018MAC       00100000018MAC       01300000011300000001340000000000151420055631           62331                                                                              
0000000034 02 20260226COB  11:32:30TN0001100254SFBT              002150500000018MAC       00100000018MAC       01300000015300000001340000000000205020055631           62331                                                                              
0000000035 02 20260226COB  11:32:30TN0001100254SFBT              002073700000018MAC       00100000018MAC       00100000019800000001340000000000265320055631           63834                                                                              
0000000036 02 20260226COB  11:32:30TN0001100254SFBT              002124900000018MAC       00100000018MAC       00100000153600000001340000000002058240055631           63834                                                                              
0000000037 02 20260226COB  11:38:06TN0001100254SFBT              002201700000018MAC       00100000018MAC       00100000076800000001340000000001029120053374           63834                                                                              
0000000038 02 20260226COB  11:38:06TN0001100254SFBT              002252900000018MAC       00100000018MAC       00100000076800000001340000000001029120053374           63834                                                                              
0000000039 02 20260226COB  11:38:06TN0001100254SFBT              002176100000018MAC       00100000018MAC       01300000034200000001339000000000457938053374           62331                                                                              
0000000040 02 20260226COB  11:52:23TN0001100254SFBT              002585700000018MAC       00100000018MAC       00100000009400000001340000000000125960038627           63834                                                                              
0000000041 02 20260226COB  11:52:23TN0001100254SFBT              002636900000018MAC       00100000018MAC       00100000025000000001340000000000335000038627           63834                                                                              
0000000042 02 20260226COB  09:00:20TN0001100254SFBT              000051300000024TUN VAL   00100000018MAC       0130000001170000000134900000000015783302884465         62331                                                                              
0000000043 02 20260226COB  09:00:20TN0001100254SFBT              000076900000024TUN VAL   00100000018MAC       0130000000520000000134900000000007014802884467         62331                                                                              
0000000044 02 20260226COB  09:00:20TN0001100254SFBT              000102500000024TUN VAL   00100000018MAC       0130000002000000000134900000000026980002884476         62331                                                                              
0000000045 02 20260226COB  09:07:15TN0001100254SFBT              000128100000024TUN VAL   01300000018MAC       0130000002170000000134500000000029186502884508         62331                                                                              
0000000046 02 20260226COB  09:07:15TN0001100254SFBT              000153700000024TUN VAL   01300000018MAC       0130000005000000000134500000000067250002884652         62331                                                                              
0000000047 02 20260226COB  09:07:15TN0001100254SFBT              000179300000024TUN VAL   01300000018MAC       0130000045000000000134500000000605250002884652         62331                                                                              
0000000048 02 20260226COB  09:10:50TN0001100254SFBT              000230500000024TUN VAL   00100000018MAC       0130000004790000000134900000000064617102884698         62331                                                                              
0000000049 02 20260226COB  09:10:50TN0001100254SFBT              000256100000024TUN VAL   00100000018MAC       0130000003410000000134900000000046000902884698         62331                                                                              
0000000050 02 20260226COB  09:56:27TN0001100254SFBT              000409700000024TUN VAL   00100000018MAC       0010000000500000000134000000000006700002884463         LIBRE                                                                              
0000000051 02 20260226COB  09:56:27TN0001100254SFBT              000435300000024TUN VAL   01300000018MAC       0010000003000000000134000000000040200002884509         LIBRE                                                                              
0000000052 02 20260226COB  09:43:29TN0001100254SFBT              000384100000024TUN VAL   01300000018MAC       0010000002100000000134500000000028245002884730         LIBRE                                                                              
0000000053 02 20260226COB  09:56:27TN0001100254SFBT              000460900000024TUN VAL   00100000018MAC       0010000020000000000134000000000268000002884753         LIBRE                                                                              
0000000054 02 20260226COB  09:23:36TN0001100254SFBT              000307300000024TUN VAL   00100000018MAC       0130000001130000000134900000000015243702884780         62331                                                                              
0000000055 02 20260226COB  09:23:36TN0001100254SFBT              000358500000024TUN VAL   00100000018MAC       0130000000680000000134900000000009173202884780         62331                                                                              
0000000056 02 20260226COB  10:43:29TN0001100254SFBT              001228900000024TUN VAL   01300000018MAC       0010000005000000000133000000000066500002885049         63834                                                                              
0000000057 02 20260226COB  10:43:29TN0001100254SFBT              001177700000024TUN VAL   01000000018MAC       0010000003000000000133100000000039930002885053         63834                                                                              
0000000058 02 20260226COB  10:43:29TN0001100254SFBT              001203300000024TUN VAL   01000000018MAC       0010000027000000000133100000000359370002885053         63834                                                                              
0000000059 02 20260226COB  10:37:13TN0001100254SFBT              000972900000024TUN VAL   00100000018MAC       0010000000060000000134000000000000804002885074         LIBRE                                                                              
0000000060 02 20260226COB  10:37:13TN0001100254SFBT              000998500000024TUN VAL   00100000018MAC       0010000000040000000134000000000000536002885074         LIBRE                                                                              
0000000061 02 20260226COB  10:43:29TN0001100254SFBT              001152100000024TUN VAL   00100000018MAC       0010000001000000000133500000000013350002885094         63834                                                                              
0000000062 02 20260226COB  11:08:06TN0001100254SFBT              001408100000024TUN VAL   00100000018MAC       0010000001000000000133000000000013300002885101         63834                                                                              
0000000063 02 20260226COB  11:08:06TN0001100254SFBT              001433700000024TUN VAL   00100000018MAC       0010000000100000000133000000000001330002885104         63834                                                                              
0000000064 02 20260226COB  11:08:06TN0001100254SFBT              001484900000024TUN VAL   01000000018MAC       0010000007000000000133000000000093100002885110         63834                                                                              
0000000065 02 20260226COB  11:08:06TN0001100254SFBT              001536100000024TUN VAL   01000000018MAC       0010000010900000000133000000000144970002885110         63834                                                                              
0000000066 02 20260226COB  11:08:15TN0001100254SFBT              001561700000024TUN VAL   01000000018MAC       0010000007000000000133000000000093100002885110         63834                                                                              
0000000067 02 20260226COB  11:08:15TN0001100254SFBT              001587300000024TUN VAL   01000000018MAC       0010000043000000000133000000000571900002885110         63834                                                                              
0000000068 02 20260226COB  11:08:26TN0001100254SFBT              001612900000024TUN VAL   01000000018MAC       0010000002100000000133000000000027930002885110         63834                                                                              
0000000069 02 20260226COB  10:50:29TN0001100254SFBT              001356900000024TUN VAL   00100000018MAC       0010000000020000000134000000000000268002885120         63834                                                                              
0000000070 02 20260226COB  11:08:06TN0001100254SFBT              001382500000024TUN VAL   00100000018MAC       0010000001000000000133100000000013310002885136         63834                                                                              
0000000071 02 20260226COB  11:09:26TN0001100254SFBT              001638500000024TUN VAL   00100000018MAC       0010000000200000000133000000000002660002885189         63834                                                                              
0000000072 02 20260226COB  11:14:20TN0001100254SFBT              001664100000024TUN VAL   01000000018MAC       0010000003440000000133000000000045752002885203         63834                                                                              
0000000073 02 20260226COB  11:14:20TN0001100254SFBT              001689700000024TUN VAL   01000000018MAC       0010000016560000000133000000000220248002885203         63834                                                                              
0000000074 02 20260226COB  11:14:58TN0001100254SFBT              001715300000024TUN VAL   01000000018MAC       0010000005740000000133000000000076342002885205         63834                                                                              
0000000075 02 20260226COB  11:14:58TN0001100254SFBT              001740900000024TUN VAL   01000000018MAC       0010000009260000000133000000000123158002885205         63834                                                                              
0000000076 02 20260226COB  11:16:04TN0001100254SFBT              001766500000024TUN VAL   00100000018MAC       0010000000250000000133000000000003325002885210         63834                                                                              
0000000077 02 20260226COB  11:38:18TN0001100254SFBT              002329700000024TUN VAL   00100000018MAC       0010000007420000000134000000000099428002885279         63834                                                                              
0000000078 02 20260226COB  11:52:23TN0001100254SFBT              002611300000024TUN VAL   00100000018MAC       0010000000350000000134000000000004690002885284         63834                                                                              
0000000079 02 20260226COB  11:52:23TN0001100254SFBT              002560100000024TUN VAL   00100000018MAC       0010000000020000000134500000000000269002885291         63834                                                                              
0000000080 02 20260226COB  11:59:55TN0001100254SFBT              002739300000024TUN VAL   00100000018MAC       0010000004210000000134000000000056414002885388         63834                                                                              
0000000081 02 20260226COB  11:59:55TN0001100254SFBT              002764900000024TUN VAL   00100000018MAC       0010000021800000000134000000000292120002885388         63834                                                                              
0000000082 02 20260226COB  11:30:41TN0001100254SFBT              001996900000028MCP       00900000018MAC       0010000001200000000134000000000016080002490            63834                                                                              
0000000083 02 20260226COB  11:31:07TN0001100254SFBT              002022500000028MCP       00900000018MAC       0010000001000000000134000000000013400002727            63834                                                                              
0000000084 02 20260226COB  11:32:26TN0001100254SFBT              002048100000028MCP       00900000018MAC       0010000003500000000134000000000046900002565            63834                                                                              
0000000085 02 20260226COB  11:08:06TN0001100254SFBT              001459300000035ATTIJARI I00100000018MAC       001000001000000000013300000000013300000018067          63834                                                                              
0000000086 02 20260226COB  11:08:06TN0001100254SFBT              001510500000035ATTIJARI I00100000018MAC       001000002000000000013300000000026600000018067          63834                                                                              
0000000087 02 20260226COB  10:24:03TN0001100254SFBT              000768100000014BNAC      01300000024TUN VAL   001000000396000000013300000000005266800158557          6642595                                                                            
0000000088 02 20260226COB  10:24:03TN0001100254SFBT              000691300000015AMEN INV  00100000024TUN VAL   001000000200000000013310000000002662000768150          6642595                                                                            
0000000089 02 20260226COB  10:24:03TN0001100254SFBT              000588900000015AMEN INV  01300000024TUN VAL   001000001500000000013350000000020025000768252          6642595                                                                            
0000000090 02 20260226COB  10:24:03TN0001100254SFBT              000742500000018MAC       00100000024TUN VAL   00100000013100000001331000000000174361061670           6642595                                                                            
0000000091 02 20260226COB  09:10:50TN0001100254SFBT              000204900000024TUN VAL   00100000024TUN VAL   0010000000700000000134900000000009443002884698         6642271                                                                            
0000000092 02 20260226COB  09:23:13TN0001100254SFBT              000281700000024TUN VAL   01300000024TUN VAL   0010000000900000000134500000000012105002884730         6642411                                                                            
0000000093 02 20260226COB  09:23:36TN0001100254SFBT              000332900000024TUN VAL   00100000024TUN VAL   0010000000190000000134900000000002563102884780         6642383                                                                            
0000000094 02 20260226COB  10:24:03TN0001100254SFBT              000614500000024TUN VAL   00100000024TUN VAL   0010000000500000000133500000000006675002885005         6642595                                                                            
0000000095 02 20260226COB  11:42:32TN0001100254SFBT              002534500000024TUN VAL   00100000024TUN VAL   0010000000020000000134900000000000269802885295         6642472                                                                            
0000000096 02 20260226COB  12:05:25TN0001100254SFBT              002790500000024TUN VAL   00100000024TUN VAL   0010000000250000000133900000000003347502885397         6642845                                                                            
0000000097 02 20260226COB  10:24:03TN0001100254SFBT              000640100000027MAXULA    00100000024TUN VAL   001000000200000000013320000000002664000O000962139      6642595                                                                            
0000000098 02 20260226COB  10:24:03TN0001100254SFBT              000716900000027MAXULA    00100000024TUN VAL   001000000400000000013310000000005324000O000962139      6642595                                                                            
0000000099 02 20260226COB  10:24:03TN0001100254SFBT              000665700000027MAXULA    00100000024TUN VAL   001000000056000000013320000000000745920O000960665      6642595                                                                            
0000000100 02 20260226COB  10:24:03TN0001100254SFBT              000537700000048BMCE      01300000024TUN VAL   001000000100000000013360000000001336000OR18-0292921    6642595                                                                            
0000000101 02 20260226COB  10:24:03TN0001100254SFBT              000563300000048BMCE      01300000024TUN VAL   001000000016000000013360000000000213760OR18-0292921    6642595                                                                            
0000000102 02 20260226COB  11:58:18TN0001100254SFBT              002662500000015AMEN INV  00100000028MCP       001000000001000000013390000000000013390768489          2604                                                                               
0000000103 02 20260226COB  11:59:55TN0001100254SFBT              002688100000024TUN VAL   00100000028MCP       0010000004990000000133900000000066816102885388         2604                                                                               
0000000104 02 20260226COB  11:59:55TN0001100254SFBT              002713700000024TUN VAL   00100000028MCP       0010000005000000000133900000000066950002885388         2604                                                                               
0000000105 02 20260226COB  11:39:55TN0001100254SFBT              002457700000018MAC       00100000035ATTIJARI I00100000010600000001340000000000142040038627           C018250                                                                            
0000000106 02 20260226COB  10:25:45TN0001100254SFBT              000793700000014BNAC      01300000038BTKC      013000002104000000013300000000027983200158557          278864                                                                             
0000000107 02 20260226COB  10:25:45TN0001100254SFBT              000870500000014BNAC      01300000038BTKC      013000000796000000013300000000010586800158557          278864                                                                             
0000000108 02 20260226COB  10:26:19TN0001100254SFBT              000896100000014BNAC      01300000038BTKC      013000002500000000013300000000033250000158557          278865                                                                             
0000000109 02 20260226COB  10:25:45TN0001100254SFBT              000819300000024TUN VAL   00100000038BTKC      0130000000500000000133000000000006650002879759         278864                                                                             
0000000110 02 20260226COB  10:25:45TN0001100254SFBT              000844900000024TUN VAL   00100000038BTKC      0130000000500000000133000000000006650002885048         278864                                                                             
0000000111 02 20260226COB  10:26:19TN0001100254SFBT              000921700000024TUN VAL   01300000038BTKC      0130000005000000000133000000000066500002885049         278865                                                                             
0000000112 02 20260226COB  11:45:23TN0001100403SFBT DA 1/8 200514000051300000018MAC       00100000024TUN VAL   00100000000100000000401000000000000401049040           6642570                                                                            
0000000113 02 20260226COB  11:45:23TN0001100403SFBT DA 1/8 200514000025700000024TUN VAL   00100000024TUN VAL   0010000000040000000040100000000000160402885194         6642570                                                                            
0000000114 02 20260226COB  11:45:23TN0001100403SFBT DA 1/8 200514000076900000024TUN VAL   00100000024TUN VAL   0010000000010000000040100000000000040102885303         6642570                                                                            
0000000115 02 20260226COB  10:00:12TN0001200401TUNISAIR          000128100000014BNAC      00100000024TUN VAL   001000000500000000000330000000000165000160155          6641855                                                                            
0000000116 02 20260226COB  10:00:12TN0001200401TUNISAIR          000358500000014BNAC      00100000024TUN VAL   001000000500000000000330000000000165000160155          6641855                                                                            
0000000117 02 20260226COB  10:00:12TN0001200401TUNISAIR          000153700000014BNAC      00100000024TUN VAL   001000000500000000000330000000000165000160156          6641855                                                                            
0000000118 02 20260226COB  10:00:12TN0001200401TUNISAIR          000384100000014BNAC      00100000024TUN VAL   001000000500000000000330000000000165000160156          6641855                                                                            
0000000119 02 20260226COB  10:00:12TN0001200401TUNISAIR          000179300000014BNAC      00100000024TUN VAL   001000000230000000000330000000000075900160157          6641855                                                                            
0000000120 02 20260226COB  10:00:12TN0001200401TUNISAIR          000409700000014BNAC      00100000024TUN VAL   001000000230000000000330000000000075900160157          6641855                                                                            
0000000121 02 20260226COB  10:00:12TN0001200401TUNISAIR          000281700000014BNAC      00100000024TUN VAL   001000001500000000000330000000000495000162049          6641855                                                                            
0000000122 02 20260226COB  10:00:12TN0001200401TUNISAIR          000435300000014BNAC      00100000024TUN VAL   001000001500000000000330000000000495000162049          6641855                                                                            
0000000123 02 20260226COB  10:00:12TN0001200401TUNISAIR          000204900000018MAC       00100000024TUN VAL   0010000025000000000003300000000008250003262            6641855                                                                            
0000000124 02 20260226COB  10:00:12TN0001200401TUNISAIR          000025700000018MAC       00100000024TUN VAL   0010000025000000000003300000000008250003262            6641855                                                                            
0000000125 02 20260226COB  10:00:12TN0001200401TUNISAIR          000051300000018MAC       00100000024TUN VAL   0010000015000000000003300000000004950003262            6641855                                                                            
0000000126 02 20260226COB  10:00:12TN0001200401TUNISAIR          000307300000022STB FIN   00100000024TUN VAL   00100000674400000000033000000000222552058190           6641855                                                                            
0000000127 02 20260226COB  10:00:12TN0001200401TUNISAIR          000076900000022STB FIN   00100000024TUN VAL   00100000249600000000033000000000082368058190           6641855                                                                            
0000000128 02 20260226COB  10:00:12TN0001200401TUNISAIR          000102500000024TUN VAL   00100000024TUN VAL   0010000003000000000003300000000000990002859992         6641855                                                                            
0000000129 02 20260226COB  10:00:12TN0001200401TUNISAIR          000332900000024TUN VAL   00100000024TUN VAL   0010000003000000000003300000000000990002859992         6641855                                                                            
0000000130 02 20260226COB  10:00:12TN0001200401TUNISAIR          000230500000024TUN VAL   00100000024TUN VAL   0010000010000000000003300000000003300002884470         6641855                                                                            
0000000131 02 20260226COB  10:00:12TN0001200401TUNISAIR          000256100000027MAXULA    00100000024TUN VAL   001000002200000000000330000000000726000O000A87512      6641855                                                                            
0000000132 02 20260226COB  12:00:00TN0001300557BTE (ADP)         000076900000048BMCE      00100000014BNAC      001000000200000000005200000000001040000OR18-0292993    162179                                                                             
0000000133 02 20260226COB  12:03:36TN0001300557BTE (ADP)         000230500000048BMCE      00100000014BNAC      001000000100000000005200000000000520000OR18-0293001    162183                                                                             
0000000134 02 20260226COB  09:00:05TN0001300557BTE (ADP)         000051300000002TSI       00100000024TUN VAL   001000000013000000005430000000000070590OR26-0003591    6642296                                                                            
0000000135 02 20260226COB  12:00:00TN0001300557BTE (ADP)         000102500000048BMCE      00100000039BH INVEST 001000000020000000005200000000000104000OR18-0292993    402138                                                                             
0000000136 02 20260226COB  12:01:28TN0001300557BTE (ADP)         000128100000048BMCE      00100000039BH INVEST 001000000580000000005200000000003016000OR18-0293001    402138                                                                             
0000000137 02 20260226COB  12:01:28TN0001300557BTE (ADP)         000153700000048BMCE      00100000039BH INVEST 001000000120000000005200000000000624000OR18-0293001    402140                                                                             
0000000138 02 20260226COB  12:01:28TN0001300557BTE (ADP)         000204900000048BMCE      00100000039BH INVEST 001000000376000000005200000000001955200OR18-0293001    402140                                                                             
0000000139 02 20260226COB  12:01:28TN0001300557BTE (ADP)         000179300000048BMCE      00100000039BH INVEST 001000000100000000005200000000000520000OR18-0293001    402161                                                                             
0000000140 02 20260226COB  12:04:34TN0001300557BTE (ADP)         000256100000048BMCE      00100000039BH INVEST 001000000100000000005200000000000520000OR18-0293001    402176                                                                             
0000000141 02 20260226COB  12:12:11TN0001300557BTE (ADP)         000281700000048BMCE      00100000039BH INVEST 001000000100000000005200000000000520000OR18-0293001    402183                                                                             
0000000142 02 20260226COB  09:00:05TN0001300557BTE (ADP)         000025700000002TSI       00100000048BMCE      001000000087000000005430000000000472410OR26-0003591    OR18-0292857                                                                       
0000000143 02 20260226COB  09:00:08TN0001400704SPDIT - SICAF     000025700000009AFC       00100000009AFC       0010000000210000000146900000000003084906811/2600177    6810/2600177                                                                       
0000000144 02 20260226COB  09:00:08TN0001400704SPDIT - SICAF     000051300000009AFC       00100000009AFC       0010000000050000000146900000000000734506812/2600177    6810/2600177                                                                       
0000000145 02 20260226COB  09:00:08TN0001400704SPDIT - SICAF     000076900000009AFC       00100000009AFC       0010000000780000000146900000000011458206827/2200502    6826/2200502                                                                       
0000000146 02 20260226COB  09:00:08TN0001400704SPDIT - SICAF     000102500000009AFC       00100000009AFC       0010000000150000000146900000000002203506828/2600177    6826/2200502                                                                       
0000000147 02 20260226COB  09:00:08TN0001400704SPDIT - SICAF     000128100000009AFC       00100000009AFC       0010000000460000000146900000000006757406842/2300165    6841/2300165                                                                       
0000000148 02 20260226COB  09:00:08TN0001400704SPDIT - SICAF     000153700000009AFC       00100000009AFC       0010000000060000000146900000000000881406843/2600177    6841/2300165                                                                       
0000000149 02 20260226COB  12:05:00TN0001400704SPDIT - SICAF     000537700000024TUN VAL   01300000009AFC       0010000000800000000150000000000012000002885390         6859/5045                                                                          
0000000150 02 20260226COB  09:00:08TN0001400704SPDIT - SICAF     000179300000035ATTIJARI I00100000009AFC       013000000001000000014690000000000014690024649          6781/60656                                                                         
0000000151 02 20260226COB  11:39:18TN0001400704SPDIT - SICAF     000460900000022STB FIN   01300000024TUN VAL   00100000010000000001499000000000149900059792           6642790                                                                            
0000000152 02 20260226COB  11:57:16TN0001400704SPDIT - SICAF     000486500000022STB FIN   01300000024TUN VAL   00100000010000000001499000000000149900059792           6642835                                                                            
0000000153 02 20260226COB  11:58:14TN0001400704SPDIT - SICAF     000512100000022STB FIN   01300000024TUN VAL   00100000010000000001499000000000149900059792           6642839                                                                            
0000000154 02 20260226COB  09:02:10TN0001400704SPDIT - SICAF     000307300000024TUN VAL   00100000024TUN VAL   0010000002190000000146900000000032171102884466         6642321                                                                            
0000000155 02 20260226COB  09:01:59TN0001400704SPDIT - SICAF     000256100000024TUN VAL   01300000024TUN VAL   0010000001940000000148000000000028712002884649         6642210                                                                            
0000000156 02 20260226COB  09:02:10TN0001400704SPDIT - SICAF     000281700000024TUN VAL   01300000024TUN VAL   0010000000060000000148000000000000888002884649         6642321                                                                            
0000000157 02 20260226COB  12:12:22TN0001400704SPDIT - SICAF     000588900000024TUN VAL   01300000024TUN VAL   0010000001000000000150000000000015000002885390         6642865                                                                            
0000000158 02 20260226COB  12:12:59TN0001400704SPDIT - SICAF     000614500000024TUN VAL   01300000024TUN VAL   0010000000730000000150000000000010950002885447         6642865                                                                            
0000000159 02 20260226COB  10:04:51TN0001400704SPDIT - SICAF     000332900000035ATTIJARI I00100000024TUN VAL   001000000075000000014900000000001117500018160          6642343                                                                            
0000000160 02 20260226COB  10:12:11TN0001400704SPDIT - SICAF     000358500000035ATTIJARI I00100000024TUN VAL   009000000925000000014900000000013782500018160          6642565                                                                            
0000000161 02 20260226COB  11:34:52TN0001400704SPDIT - SICAF     000409700000022STB FIN   01300000035ATTIJARI I00100000031700000001499000000000475183059792           C9SI604                                                                            
0000000162 02 20260226COB  11:34:52TN0001400704SPDIT - SICAF     000435300000022STB FIN   01300000035ATTIJARI I00100000030000000001499000000000449700059792           C9SI604                                                                            
0000000163 02 20260226COB  10:14:26TN0001400704SPDIT - SICAF     000384100000024TUN VAL   00100000035ATTIJARI I0010000000010000000149900000000000149902885012         C9SI604                                                                            
0000000164 02 20260226COB  09:00:08TN0001400704SPDIT - SICAF     000230500000024TUN VAL   00100000048BMCE      0010000000790000000146900000000011605102884466         OR18-0292839                                                                       
0000000165 02 20260226COB  12:05:00TN0001400704SPDIT - SICAF     000563300000024TUN VAL   01300000048BMCE      0010000000500000000150000000000007500002885390         OR18-0292937                                                                       
0000000166 02 20260226COB  09:00:08TN0001400704SPDIT - SICAF     000204900000035ATTIJARI I00100000048BMCE      001000000091000000014690000000001336790024649          OR18-0292839                                                                       
0000000167 02 20260226COB  11:03:39TN0001600154ATTIJARI BANK     000691300000018MAC       01300000022STB FIN   00100000005000000007020000000000351000060558           59772                                                                              
0000000168 02 20260226COB  11:14:26TN0001600154ATTIJARI BANK     000819300000018MAC       01300000022STB FIN   00100000010000000007020000000000702000060558           59778                                                                              
0000000169 02 20260226COB  12:05:16TN0001600154ATTIJARI BANK     000870500000018MAC       00100000022STB FIN   00100000005500000007080000000000389400058583           59814                                                                              
0000000170 02 20260226COB  10:14:09TN0001600154ATTIJARI BANK     000332900000009AFC       00100000024TUN VAL   0010000000150000000702000000000010530006863/2501262    6642573                                                                            
0000000171 02 20260226COB  10:14:09TN0001600154ATTIJARI BANK     000409700000009AFC       00100000024TUN VAL   0010000000150000000701500000000010522506864/2501262    6642573                                                                            
0000000172 02 20260226COB  10:24:47TN0001600154ATTIJARI BANK     000460900000009AFC       00100000024TUN VAL   0010000000030000000701500000000002104506864/2501262    6642594                                                                            
0000000173 02 20260226COB  10:14:09TN0001600154ATTIJARI BANK     000358500000009AFC       00100000024TUN VAL   0010000000150000000702000000000010530006865/2501262    6642573                                                                            
0000000174 02 20260226COB  10:14:09TN0001600154ATTIJARI BANK     000384100000009AFC       00100000024TUN VAL   0010000000300000000702000000000021060006868/2501262    6642573                                                                            
0000000175 02 20260226COB  10:58:15TN0001600154ATTIJARI BANK     000563300000018MAC       01300000024TUN VAL   00100000010800000007020000000000758160060558           6642679                                                                            
0000000176 02 20260226COB  10:58:15TN0001600154ATTIJARI BANK     000588900000018MAC       01300000024TUN VAL   00100000011600000007020000000000814320060558           6642679                                                                            
0000000177 02 20260226COB  11:05:13TN0001600154ATTIJARI BANK     000716900000018MAC       01300000024TUN VAL   00100000003700000007020000000000259740060558           6642694                                                                            
0000000178 02 20260226COB  11:05:13TN0001600154ATTIJARI BANK     000768100000018MAC       01300000024TUN VAL   00100000001200000007020000000000084240060558           6642694                                                                            
0000000179 02 20260226COB  09:00:12TN0001600154ATTIJARI BANK     000102500000018MAC       00100000024TUN VAL   00100000000500000007011000000000035055060594           6642278                                                                            
0000000180 02 20260226COB  10:14:09TN0001600154ATTIJARI BANK     000307300000018MAC       00100000024TUN VAL   00100000001400000007026000000000098364063767           6642573                                                                            
0000000181 02 20260226COB  09:00:12TN0001600154ATTIJARI BANK     000128100000024TUN VAL   01300000024TUN VAL   0010000000110000000701100000000007712102884601         6642278                                                                            
